time_unix_ms,step,value,device,node
1777556332552,,81702944768.0,cuda:0,zhustation
1777556332552,,81705041920.0,cuda:1,zhustation
1777556332552,,81705041920.0,cuda:2,zhustation
1777556332552,,81728110592.0,cuda:3,zhustation
1777556337714,,84785758208.0,cuda:0,zhustation
1777556337714,,84787855360.0,cuda:1,zhustation
1777556337714,,84787855360.0,cuda:2,zhustation
1777556337714,,84748009472.0,cuda:3,zhustation
1777556342873,,84009811968.0,cuda:0,zhustation
1777556342873,,83508592640.0,cuda:1,zhustation
1777556342873,,83466649600.0,cuda:2,zhustation
1777556342873,,83552632832.0,cuda:3,zhustation
1777556348038,,82478891008.0,cuda:0,zhustation
1777556348038,,84347453440.0,cuda:1,zhustation
1777556348038,,84326481920.0,cuda:2,zhustation
1777556348038,,84391493632.0,cuda:3,zhustation
1777556353144,,83674267648.0,cuda:0,zhustation
1777556353144,,83508592640.0,cuda:1,zhustation
1777556353144,,83466649600.0,cuda:2,zhustation
1777556353144,,83510689792.0,cuda:3,zhustation
1777556358357,,83647004672.0,cuda:0,zhustation
1777556358357,,83466649600.0,cuda:1,zhustation
1777556358357,,83424706560.0,cuda:2,zhustation
1777556358357,,83487621120.0,cuda:3,zhustation
1777556363441,,0.0,cuda:0,zhustation
1777556363441,,0.0,cuda:1,zhustation
1777556363441,,0.0,cuda:2,zhustation
1777556363441,,0.0,cuda:3,zhustation
